A,W,MT,ID,TestName
8,4,1758,2,Small
8,4,1270,2,Small
8,4,1216,2,Small
8,4,1241,2,Small
8,4,1069,2,Small
8,4,1081,2,Small
8,4,989,2,Small
8,4,1110,2,Small
8,4,1334,2,Small
8,1,1020,3,Small
8,1,3112,3,Small
8,1,1305,3,Small
8,1,1502,3,Small
8,1,1471,3,Small
8,1,1384,3,Small
8,1,1704,3,Small
8,1,1919,3,Small
8,1,1492,3,Small
16,4,1879,2,Small
16,4,1281,2,Small
16,4,1082,2,Small
16,4,1033,2,Small
16,4,1237,2,Small
16,4,1645,2,Small
16,4,1327,2,Small
16,4,1049,2,Small
16,4,1291,2,Small
8,2,970,2,Small
8,2,1901,2,Small
8,2,0,2,Small
8,2,2028,2,Small
8,2,1182,2,Small
8,2,1289,2,Small
8,2,1318,2,Small
8,2,1232,2,Small
8,2,1142,2,Small
16,2,1078,3,Small
16,2,1394,3,Small
16,2,1003,3,Small
16,2,1329,3,Small
16,2,1306,3,Small
16,2,1426,3,Small
16,2,1356,3,Small
16,2,1151,3,Small
16,2,1326,3,Small
32,4,1285,3,Small
32,4,2401,3,Small
32,4,1282,3,Small
32,4,1142,3,Small
32,4,1529,3,Small
32,4,1185,3,Small
32,4,1237,3,Small
32,4,1096,3,Small
32,4,1109,3,Small
16,1,1647,4,Small
16,1,1661,4,Small
16,1,1482,4,Small
16,1,1856,4,Small
16,1,1269,4,Small
16,1,1776,4,Small
16,1,1254,4,Small
16,1,2616,4,Small
16,1,1451,4,Small
32,1,1222,5,Small
32,1,1802,5,Small
32,1,1590,5,Small
32,1,1304,5,Small
32,1,1176,5,Small
32,1,1450,5,Small
32,1,1833,5,Small
32,1,1537,5,Small
32,1,0,5,Small
32,2,1821,4,Small
32,2,1403,4,Small
32,2,1670,4,Small
32,2,3437,4,Small
32,2,1290,4,Small
32,2,1250,4,Small
32,2,2450,4,Small
32,2,1272,4,Small
32,2,2650,4,Small
