# https://ergo.human.cornell.edu/FittsLaw/FittsLaw.html result
# MT = 301.031 + 242.074log(A/W + 1)
A,W,MT,ID,TestName
128,64,419,2,128A
128,64,333,2,128A
128,64,319,2,128A
128,64,378,2,128A
128,64,287,2,128A
128,64,296,2,128A
128,64,316,2,128A
128,64,360,2,128A
128,64,308,2,128A
128,32,437,2,128A
128,32,382,2,128A
128,32,355,2,128A
128,32,380,2,128A
128,32,451,2,128A
128,32,443,2,128A
128,32,483,2,128A
128,32,396,2,128A
128,32,373,2,128A
128,16,488,3,128A
128,16,522,3,128A
128,16,535,3,128A
128,16,473,3,128A
128,16,489,3,128A
128,16,451,3,128A
128,16,455,3,128A
128,16,397,3,128A
128,16,496,3,128A
128,32,366,2,128A
128,32,381,2,128A
128,32,415,2,128A
128,32,370,2,128A
128,32,411,2,128A
128,32,404,2,128A
128,32,383,2,128A
128,32,355,2,128A
128,32,332,2,128A
128,64,291,2,128A
128,64,278,2,128A
128,64,275,2,128A
128,64,247,2,128A
128,64,250,2,128A
128,64,227,2,128A
128,64,406,2,128A
128,64,281,2,128A
128,64,284,2,128A
128,32,526,2,128A
128,32,398,2,128A
128,32,407,2,128A
128,32,338,2,128A
128,32,459,2,128A
128,32,373,2,128A
128,32,421,2,128A
128,32,416,2,128A
128,32,394,2,128A
128,64,262,2,128A
128,64,331,2,128A
128,64,250,2,128A
128,64,271,2,128A
128,64,297,2,128A
128,64,311,2,128A
128,64,274,2,128A
128,64,297,2,128A
128,64,261,2,128A
128,16,477,3,128A
128,16,601,3,128A
128,16,470,3,128A
128,16,453,3,128A
128,16,431,3,128A
128,16,421,3,128A
128,16,375,3,128A
128,16,414,3,128A
128,16,449,3,128A
128,16,452,3,128A
128,16,641,3,128A
128,16,577,3,128A
128,16,550,3,128A
128,16,734,3,128A
128,16,508,3,128A
128,16,417,3,128A
128,16,463,3,128A
128,16,495,3,128A
