# https://ergo.human.cornell.edu/FittsLaw/FittsLaw.html result
# MT = 226.551 + 81.837log(A/W + 1)
A,W,MT,ID,TestName
256,64,478,2,Big
256,64,395,2,Big
256,64,366,2,Big
256,64,392,2,Big
256,64,374,2,Big
256,64,339,2,Big
256,64,365,2,Big
256,64,364,2,Big
256,64,387,2,Big
128,16,584,3,Big
128,16,572,3,Big
128,16,553,3,Big
128,16,547,3,Big
128,16,604,3,Big
128,16,603,3,Big
128,16,663,3,Big
128,16,558,3,Big
128,16,554,3,Big
256,16,549,4,Big
256,16,595,4,Big
256,16,666,4,Big
256,16,634,4,Big
256,16,620,4,Big
256,16,507,4,Big
256,16,482,4,Big
256,16,662,4,Big
256,16,585,4,Big
128,64,440,2,Big
128,64,341,2,Big
128,64,320,2,Big
128,64,321,2,Big
128,64,351,2,Big
128,64,307,2,Big
128,64,343,2,Big
128,64,282,2,Big
128,64,334,2,Big
128,32,662,2,Big
128,32,526,2,Big
128,32,549,2,Big
128,32,494,2,Big
128,32,416,2,Big
128,32,497,2,Big
128,32,529,2,Big
128,32,421,2,Big
128,32,400,2,Big
256,32,411,3,Big
256,32,442,3,Big
256,32,436,3,Big
256,32,425,3,Big
256,32,393,3,Big
256,32,409,3,Big
256,32,419,3,Big
256,32,480,3,Big
256,32,480,3,Big
512,64,380,3,Big
512,64,477,3,Big
512,64,398,3,Big
512,64,434,3,Big
512,64,416,3,Big
512,64,373,3,Big
512,64,468,3,Big
512,64,413,3,Big
512,64,397,3,Big
512,16,723,5,Big
512,16,600,5,Big
512,16,758,5,Big
512,16,640,5,Big
512,16,639,5,Big
512,16,626,5,Big
512,16,539,5,Big
512,16,820,5,Big
512,16,590,5,Big
512,32,497,4,Big
512,32,514,4,Big
512,32,465,4,Big
512,32,543,4,Big
512,32,598,4,Big
512,32,542,4,Big
512,32,467,4,Big
512,32,439,4,Big
512,32,497,4,Big
