# https://ergo.human.cornell.edu/FittsLaw/FittsLaw.html result
# MT = 301.031 + 242.074log(A/W + 1)
A,W,MT,ID,TestName
32,4,590,3,Small
32,4,842,3,Small
32,4,836,3,Small
32,4,914,3,Small
32,4,752,3,Small
32,4,735,3,Small
32,4,585,3,Small
32,4,836,3,Small
32,4,964,3,Small
16,2,1145,3,Small
16,2,781,3,Small
16,2,622,3,Small
16,2,582,3,Small
16,2,1286,3,Small
16,2,1246,3,Small
16,2,2137,3,Small
16,2,878,3,Small
16,2,1015,3,Small
8,1,4544,3,Small
8,1,1444,3,Small
8,1,676,3,Small
8,1,1113,3,Small
8,1,1105,3,Small
8,1,831,3,Small
8,1,953,3,Small
8,1,667,3,Small
8,1,808,3,Small
8,4,793,2,Small
8,4,750,2,Small
8,4,839,2,Small
8,4,1212,2,Small
8,4,583,2,Small
8,4,1307,2,Small
8,4,546,2,Small
8,4,893,2,Small
8,4,484,2,Small
32,1,1177,5,Small
32,1,1097,5,Small
32,1,1151,5,Small
32,1,1156,5,Small
32,1,886,5,Small
32,1,1779,5,Small
32,1,750,5,Small
32,1,2064,5,Small
32,1,1210,5,Small
32,2,2478,4,Small
32,2,2247,4,Small
32,2,1555,4,Small
32,2,1084,4,Small
32,2,1267,4,Small
32,2,1029,4,Small
32,2,688,4,Small
32,2,2075,4,Small
32,2,694,4,Small
16,1,5248,4,Small
16,1,1198,4,Small
16,1,1171,4,Small
16,1,1556,4,Small
16,1,1496,4,Small
16,1,992,4,Small
16,1,1264,4,Small
16,1,791,4,Small
16,1,642,4,Small
16,4,735,2,Small
16,4,586,2,Small
16,4,581,2,Small
16,4,598,2,Small
16,4,671,2,Small
16,4,477,2,Small
16,4,627,2,Small
16,4,477,2,Small
16,4,737,2,Small
8,2,834,2,Small
8,2,876,2,Small
8,2,807,2,Small
8,2,481,2,Small
8,2,453,2,Small
8,2,866,2,Small
8,2,833,2,Small
8,2,815,2,Small
8,2,980,2,Small
