A,W,MT,ID,TestName
128,32,953,2,128A
128,32,1227,2,128A
128,32,984,2,128A
128,32,951,2,128A
128,32,842,2,128A
128,32,1005,2,128A
128,32,881,2,128A
128,32,853,2,128A
128,32,846,2,128A
128,16,934,3,128A
128,16,816,3,128A
128,16,910,3,128A
128,16,1034,3,128A
128,16,1243,3,128A
128,16,1109,3,128A
128,16,1118,3,128A
128,16,912,3,128A
128,16,1027,3,128A
128,32,809,2,128A
128,32,948,2,128A
128,32,997,2,128A
128,32,788,2,128A
128,32,736,2,128A
128,32,0,2,128A
128,32,967,2,128A
128,32,783,2,128A
128,32,1062,2,128A
128,64,840,2,128A
128,64,936,2,128A
128,64,877,2,128A
128,64,766,2,128A
128,64,813,2,128A
128,64,803,2,128A
128,64,1227,2,128A
128,64,1019,2,128A
128,64,952,2,128A
128,16,1238,3,128A
128,16,943,3,128A
128,16,1259,3,128A
128,16,891,3,128A
128,16,1964,3,128A
128,16,932,3,128A
128,16,1093,3,128A
128,16,970,3,128A
128,16,1001,3,128A
128,32,841,2,128A
128,32,769,2,128A
128,32,782,2,128A
128,32,769,2,128A
128,32,748,2,128A
128,32,804,2,128A
128,32,696,2,128A
128,32,874,2,128A
128,32,766,2,128A
128,64,736,2,128A
128,64,806,2,128A
128,64,698,2,128A
128,64,706,2,128A
128,64,749,2,128A
128,64,714,2,128A
128,64,838,2,128A
128,64,770,2,128A
128,64,754,2,128A
128,64,646,2,128A
128,64,709,2,128A
128,64,697,2,128A
128,64,701,2,128A
128,64,700,2,128A
128,64,791,2,128A
128,64,645,2,128A
128,64,945,2,128A
128,64,958,2,128A
128,16,1138,3,128A
128,16,1085,3,128A
128,16,1132,3,128A
128,16,2476,3,128A
128,16,1220,3,128A
128,16,1886,3,128A
128,16,1100,3,128A
128,16,1142,3,128A
128,16,970,3,128A
