# https://ergo.human.cornell.edu/FittsLaw/FittsLaw.html result
# MT = 386.930 + 68.307log(A/W + 1)
A,W,MT,ID,TestName
128,12,574,4,12W
128,12,524,4,12W
128,12,830,4,12W
128,12,782,4,12W
128,12,670,4,12W
128,12,772,4,12W
128,12,729,4,12W
128,12,547,4,12W
128,12,700,4,12W
256,12,543,4,12W
256,12,503,4,12W
256,12,627,4,12W
256,12,834,4,12W
256,12,744,4,12W
256,12,506,4,12W
256,12,748,4,12W
256,12,792,4,12W
256,12,790,4,12W
512,12,866,5,12W
512,12,859,5,12W
512,12,616,5,12W
512,12,854,5,12W
512,12,619,5,12W
512,12,1108,5,12W
512,12,779,5,12W
512,12,691,5,12W
512,12,829,5,12W
256,12,755,4,12W
256,12,616,4,12W
256,12,616,4,12W
256,12,677,4,12W
256,12,606,4,12W
256,12,797,4,12W
256,12,683,4,12W
256,12,780,4,12W
256,12,708,4,12W
512,12,667,5,12W
512,12,779,5,12W
512,12,859,5,12W
512,12,994,5,12W
512,12,792,5,12W
512,12,894,5,12W
512,12,724,5,12W
512,12,845,5,12W
512,12,634,5,12W
128,12,815,4,12W
128,12,660,4,12W
128,12,684,4,12W
128,12,652,4,12W
128,12,553,4,12W
128,12,599,4,12W
128,12,669,4,12W
128,12,531,4,12W
128,12,510,4,12W
128,12,621,4,12W
128,12,470,4,12W
128,12,582,4,12W
128,12,610,4,12W
128,12,618,4,12W
128,12,642,4,12W
128,12,643,4,12W
128,12,656,4,12W
128,12,397,4,12W
512,12,763,5,12W
512,12,634,5,12W
512,12,891,5,12W
512,12,783,5,12W
512,12,484,5,12W
512,12,678,5,12W
512,12,714,5,12W
512,12,539,5,12W
512,12,655,5,12W
256,12,839,4,12W
256,12,863,4,12W
256,12,651,4,12W
256,12,776,4,12W
256,12,602,4,12W
256,12,618,4,12W
256,12,541,4,12W
256,12,720,4,12W
256,12,666,4,12W
